Name,Rating,Review,Salaries,Interviews,Jobs,Benefits,Photos
TCS,3.2,(1.2L),10.4L,11.4k,4.6k,11.1k,100
Accenture,3.7,(77.6k),7.3L,9.6k,14.6k,7k,49
Wipro,3.6,(68.3k),4.9L,7k,7,5k,123
Cognizant,3.7,(64.5k),6.1L,6.6k,726,5.7k,105
Capgemini,3.6,(56.7k),5L,5.7k,2k,3.9k,54
HDFC Bank,3.8,(55.7k),1.5L,3.3k,284,3.5k,113
Infosys,3.5,(51.4k),5.3L,8.6k,4k,5k,120
HCLTech,3.4,(48.5k),4L,4.7k,353,4k,74
ICICI Bank,4.0,(47.7k),1.6L,3.1k,23,3.8k,74
Tech Mahindra,3.3,(45.6k),2.8L,4.7k,735,3.5k,91
Genpact,3.6,(44.9k),2.4L,4.1k,541,3.7k,78
TP,3.8,(40.9k),1L,2.3k,1.5k,2k,41
Axis Bank,3.6,(35.2k),1L,2.1k,226,2.3k,140
Jio,4.4,(34.7k),61.2k,4.6k,--,2.6k,97
Concentrix Corporation,3.5,(34k),1.3L,2.1k,60,3.3k,75
Amazon,3.9,(33.4k),1.6L,6.2k,76,3.5k,106
Reliance Retail,3.9,(28.5k),76.5k,2k,72,1.9k,162
iEnergizer,4.5,(28.2k),25.5k,1.7k,81,976,30
LTM Limited,3.6,(27.9k),2.1L,3.5k,545,922,34
IBM,3.9,(27k),2.2L,2.7k,443,2.7k,23
HDB Financial Services,3.9,(27k),48.8k,1.2k,10,1.4k,84
Larsen & Toubro Limited,3.9,(25.3k),77.3k,2k,287,2.7k,74
Deloitte,3.6,(25k),2.9L,3.5k,470,2.5k,19
Kotak Mahindra Bank,3.6,(23.7k),88.2k,1.5k,164,1.4k,46
Reliance Industries,4.0,(21.3k),75.8k,1.7k,99,1.9k,41
Vodafone Idea,3.9,(18.2k),48.6k,724,58,2k,23
Bharti Airtel,3.8,(17.9k),50.3k,1.2k,184,1.6k,105
BYJU'S,3.2,(16.4k),49.2k,2.1k,5,1.7k,28
WNS,3.3,(16.2k),70.8k,1.3k,48,1.4k,24
IDFC FIRST Bank,4.0,(16k),51.6k,1.1k,129,838,30
Ernst & Young,3.4,(15.6k),1.5L,1.4k,3.7k,1.1k,10
IndusInd Bank,3.4,(15.1k),52.9k,802,135,841,17
AU Small Finance Bank,3.8,(15k),30.6k,742,3.2k,637,28
Tata Motors,4.1,(14.8k),44.1k,1.4k,41,1.7k,59
Bajaj Finserv,3.9,(14.2k),32.8k,842,5,763,24
Flipkart,3.9,(13.8k),57.6k,1.8k,84,1.4k,116
PwC,3.3,(13.7k),1.3L,1.6k,1.5k,907,24
Muthoot FinCorp,4.5,(13.6k),10k,2.4k,60,334,108
Mahindra & Mahindra,4.0,(12.8k),41.8k,924,2,1.2k,22
HDFC Life,3.8,(12.8k),34.2k,856,227,670,60
Infosys BPM,3.5,(12.7k),79.5k,1.1k,172,1.2k,15
DXC Technology,3.6,(12.5k),73.8k,918,96,1.2k,9
Bandhan Bank,3.6,(12.1k),27.9k,801,--,597,53
Yes Bank,3.6,(10.8k),43.1k,588,158,649,19
Digitide Solutions,3.4,(10.9k),27.4k,604,335,797,49
Mphasis,3.3,(10.7k),75.4k,963,57,883,148
Tata Steel,4.0,(10.5k),34.9k,1.1k,--,701,53
Quess,3.8,(10.3k),32.1k,562,8,473,26
UltraTech Cement,4.1,(10.2k),25.3k,865,101,686,51
Asian Paints,3.9,(10.2k),26.9k,922,94,950,37
